,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
32504,1,Apartment,555,Thane West,Under Construction,Resale,40.0,7207.207207207207
32505,1,Apartment,500,Kurla,Ready to move,Resale,72.0,14400.0
32507,1,Apartment,444,Bhandup East,Under Construction,Resale,60.0,13513.513513513513
32508,1,Apartment,555,Bhandup East,Under Construction,Resale,61.0,10990.990990990991
32509,1,Apartment,555,Bhandup East,Under Construction,Resale,61.0,10990.990990990991
32511,2,Apartment,888,Bhandup West,Ready to move,Resale,125.0,14076.576576576577
32512,1,Apartment,500,Bhandup West,Ready to move,Resale,75.0,15000.0
32513,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32514,1,Apartment,500,Bhandup West,Ready to move,Resale,75.0,15000.0
32515,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32516,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32517,1,Apartment,500,Bhandup West,Ready to move,Resale,75.0,15000.0
32518,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32519,1,Apartment,540,Bhandup West,Ready to move,Resale,75.0,13888.888888888889
32520,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32523,1,Apartment,555,Bhandup West,Ready to move,Resale,75.0,13513.513513513513
32524,2,Apartment,550,Airoli,Ready to move,Resale,78.0,14181.818181818182
32525,1,Apartment,500,Bhandup West,Ready to move,Resale,75.0,15000.0
32526,1,Apartment,444,Bhandup East,Under Construction,Resale,65.0,14639.63963963964
32527,1,Apartment,401,Bhandup East,Under Construction,Resale,65.0,16209.476309226933
32528,1,Apartment,555,Bhandup East,Under Construction,Resale,65.0,11711.711711711712
32529,1,Apartment,555,Bhandup East,Under Construction,Resale,65.0,11711.711711711712
32531,1,Apartment,555,Bhandup East,Under Construction,Resale,65.0,11711.711711711712
32532,3,Apartment,901,Andheri West,Under Construction,New,315.0,34961.15427302997
32533,2,Apartment,574,Jogeshwari West,Under Construction,New,107.0,18641.114982578398
32534,1,Apartment,426,Andheri East,Under Construction,New,110.00000000000001,25821.59624413146
32535,2,Apartment,585,Malad East,Ready to move,New,120.0,20512.82051282051
32536,1,Apartment,456,Andheri East,Under Construction,New,114.99999999999999,25219.29824561403
32537,2,Apartment,716,Malad West,Under Construction,New,145.0,20251.396648044694
32538,3,Apartment,1135,Chembur,Under Construction,Resale,250.0,22026.431718061674
32539,3,Apartment,1100,Andheri West,Ready to move,Resale,365.0,33181.818181818184
32540,3,Apartment,1400,Andheri West,Ready to move,Resale,275.0,19642.85714285714
32541,5,Apartment,2280,Andheri West,Under Construction,New,522.0,22894.736842105263
32545,4,Apartment,2000,Vashi,Under Construction,New,209.0,10450.0
32548,2,Apartment,855,Thane West,Under Construction,New,120.0,14035.087719298246
32550,1,Apartment,588,Jogeshwari West,Under Construction,New,81.0,13775.510204081633
32552,3,Apartment,1432,Panvel,Under Construction,New,114.99999999999999,8030.726256983239
32555,3,Apartment,1400,Panvel,Under Construction,New,119.0,8500.0
32556,5,Apartment,3000,Vashi,Under Construction,New,329.0,10966.666666666666
32563,1,Apartment,400,Malad West,Ready to move,Resale,51.0,12750.0
32564,1,Apartment,400,Malad West,Ready to move,Resale,52.0,13000.0
32565,2,Apartment,850,Malad West,Ready to move,New,135.0,15882.35294117647
32566,2,Apartment,850,Malad West,Ready to move,New,140.0,16470.58823529412
32567,1,Apartment,400,Malad West,Ready to move,Resale,53.0,13250.0
32570,1,Apartment,599,Mira Road East,Under Construction,New,59.61,9951.585976627714
32572,1,Apartment,533,Mira Road East,Under Construction,New,63.24,11864.915572232645
32574,2,Apartment,657,Mira Road East,Under Construction,New,68.0,10350.076103500762
32580,1,Apartment,552,Malad West,Under Construction,New,72.0,13043.478260869566
32584,1,Apartment,577,Malad East,Under Construction,New,70.0,12131.715771230503
32588,2,Apartment,872,Kandivali West,Under Construction,New,127.0,14564.220183486239
32595,2,Apartment,818,Malad West,Under Construction,New,96.0,11735.9413202934
32596,2,Apartment,843,Malad West,Under Construction,New,99.0,11743.772241992883
